id	name	lat	lon	y	x	country	adm1	adm2	district
08f9955a-be35-437b-b209-b10432d35911	Leśna	51°01'26''	15°15'50''	357416.45	238096.35	POL	dolnośląskie	lubański	
d6cb73b8-dd47-4213-97f9-3017e535d0a1	Leśnica	50°25'43''	18°10'59''	284938.27	441986.55	POL	opolskie	strzelecki	
ec38da0a-36ba-432b-9f78-518aea2ac20e	Lewin Brzeski	50°45'19''	17°36'58''	321829.39	402410.53	POL	opolskie	brzeski	
01932259-aa36-4961-bc8d-065cc4be27d6	Leżajsk	50°15'48''	22°25'03''	271825.95	743482.43	POL	podkarpackie	leżajski	
3635121f-9fa0-44a0-a1b1-bbf35b36edcd	Lębork	54°32'37''	17°44'60''	742901.61	419155.61	POL	pomorskie	lęborski	
143cab08-40b2-40d7-91ec-7cd3d2f13991	Lędziny	50°07'49''	19°06'30''	251452.21	507747.53	POL	śląskie	bieruńsko-lędziński	
46d33765-6a95-4067-8cf1-c675e3982957	Libiąż	50°06'24''	19°19'47''	248870.32	523578.65	POL	małopolskie	chrzanowski	
b785c7c6-3eff-49d6-84aa-eaa669da9982	Lidzbark	53°15'41''	19°49'20''	599886.56	554828.82	POL	warmińsko-mazurskie	działdowski	
b6882d75-9ea3-494c-809b-cc1403ee9161	Lidzbark Warmiński	54°07'33''	20°34'59''	696884.73	603411.71	POL	warmińsko-mazurskie	lidzbarski	
c6bd1b31-630c-449f-8fbe-c306231ccc5b	Limanowa	49°42'23''	20°25'22''	205312.49	602547.32	POL	małopolskie	limanowski	
99c97ced-90b9-43fe-b96b-b329193c937e	Lipiany	53°00'11''	14°58'08''	578435.27	229629.54	POL	zachodniopomorskie	pyrzycki	
a7127bce-8f4b-4c0d-ab3f-312990fbf341	Lipno	52°50'45''	19°10'54''	553376.19	512222.08	POL	kujawsko-pomorskie	lipnowski	
c4518555-1d72-4526-b38c-9aeafea870ee	Lipsk	53°43'59''	23°24'16''	661041.49	790380.15	POL	podlaskie	augustowski	
f297ca89-25b7-4d41-a795-4bd249e90dd4	Lipsko	51°09'29''	21°38'57''	369036.25	685189.05	POL	mazowieckie	lipski	
b02e2729-85cd-42cf-9f46-1379a04dcabf	Lubaczów	50°09'26''	23°07'27''	262587.72	794468.08	POL	podkarpackie	lubaczowski	
0856ea1a-9dc9-4b3e-9610-4c891ac26b27	Lubań	51°07'12''	15°17'22''	368017.22	240420.34	POL	dolnośląskie	lubański	
3aa45fed-d0db-483c-af22-7e0811d267eb	Lubartów	51°27'28''	22°36'34''	405194.18	750661.53	POL	lubelskie	lubartowski	
0e9ef4a3-ec8d-4ba2-967a-25b26d5b3e96	Lubawa	53°30'12''	19°44'53''	626760.48	549608.3	POL	warmińsko-mazurskie	iławski	
eacb61f6-74f6-417e-b901-ae8f59f5ccaf	Lubawka	50°42'25''	15°59'60''	319830.39	288246.27	POL	dolnośląskie	kamiennogórski	
d2a86d52-0d72-4853-875e-718d324d4947	Lubień Kujawski	52°24'19''	19°09'56''	504393.86	511265.79	POL	kujawsko-pomorskie	włocławski	
a675218d-59a0-472c-af0c-cfa9cd442023	Lubin	51°23'55''	16°12'12''	396155.17	305520.72	POL	dolnośląskie	lubiński	
b122b905-ad7d-4a1c-b2b0-109366fcc51b	Lublin	51°14'52''	22°34'05''	381735.66	748921.57	POL	lubelskie	m. Lublin	
637eba1b-39d1-4db7-bd3a-17f0ac60481a	Lubliniec	50°40'09''	18°40'59''	311399.34	477609.1	POL	śląskie	lubliniecki	
d6ab7e8e-178f-43c8-be9e-535bc4df2a1c	Lubniewice	52°30'45''	15°14'41''	522931.73	245281.77	POL	lubuskie	sulęciński	
d095fe2a-76fa-4b87-9dc0-c9b73c5a4eaf	Lubomierz	51°00'46''	15°30'38''	355342.62	255317.04	POL	dolnośląskie	lwówecki	
0448e9c5-916a-424c-bf94-d7f8d9197d77	Luboń	52°20'45''	16°52'40''	499894.34	355482.07	POL	wielkopolskie	poznański	
2c28e84e-435b-4474-b7e9-8c2cce0635b2	Lubowidz	53°07'13''	19°50'41''	584204.57	556522.99	POL	mazowieckie	żuromiński	
8c9c1417-8266-4fe5-b2fa-2d0229fbeeba	Lubraniec	52°32'38''	18°50'08''	519795.32	488859.19	POL	kujawsko-pomorskie	włocławski	
af611362-9dbf-424e-b8a7-801b541cc2e0	Lubsko	51°47'08''	14°58'07''	443147.61	222051.94	POL	lubuskie	żarski	
97578021-99be-42b4-aeb6-e3f548504112	Lubycza Królewska	50°20'26''	23°31'14''	284601.65	821531.34	POL	lubelskie	tomaszowski	
78b4b153-769a-4f54-8761-5aa1950001e2	Lututów	51°22'17''	18°26'03''	389563.01	460625.45	POL	łódzkie	wieruszowski	
54a8e3f0-f9f7-4edf-b26f-4860f4305229	Lwówek	52°26'53''	16°10'51''	512856.62	308476.61	POL	wielkopolskie	nowotomyski	
26ed21b0-fa7d-4bef-894e-0b484f8ff25c	Lwówek Śląski	51°06'39''	15°35'06''	365996.63	261043.81	POL	dolnośląskie	lwówecki	
4e4fe4d0-a690-4169-bf1c-7325bc723ab2	Łabiszyn	52°57'11''	17°55'09''	565825.9	427400.6	POL	kujawsko-pomorskie	żniński	
c3e24f90-ac55-4e4e-84da-2e47510c7ba9	Łagów	50°46'30''	21°05'03''	325183.57	646897.34	POL	świętokrzyskie	kielecki	
1f08d604-3d86-44d9-904a-a11d9d92bca4	Łańcut	50°04'09''	22°14'06''	249668.62	731419.15	POL	podkarpackie	łańcucki	
31716f67-b2c2-430b-a5db-9144aaee7fda	Łapy	52°59'22''	22°52'47''	576376.31	760300.2	POL	podlaskie	białostocki	
2aa61ccb-8580-497c-8bbd-ae98186cdffc	Łasin	53°31'07''	19°05'11''	628192.16	505727.36	POL	kujawsko-pomorskie	grudziądzki	
8282e8e2-5509-4d78-8cbe-f2f76ae9d932	Łask	51°35'29''	19°08'01''	413886	509252.97	POL	łódzkie	łaski	
ca2ce069-9710-4671-bd2c-080b5504e305	Łaskarzew	51°47'25''	21°35'35''	439170.44	678777.38	POL	mazowieckie	garwoliński	
eb79b24c-d90b-49a2-8865-2380e5088d0b	Łaszczów	50°31'54''	23°42'57''	306702.59	834044.95	POL	lubelskie	tomaszowski	
45ab937a-b3a5-4847-b48b-bd737efbfcba	Łaziska Górne	50°08'58''	18°50'23''	253591.81	488553.06	POL	śląskie	mikołowski	
4f5038a2-d7fc-4b1b-8249-821caa03826d	Łazy	50°25'39''	19°23'39''	284561.57	527989.26	POL	śląskie	zawierciański	
